DateTime,Year,Month,Day,GMT Hour,Minute,t,Lu,Ld
1/1/2019 10:10,2019,1,1,10,10,0.93,0.47,0.8
1/6/2019 10:10,2019,1,6,10,10,0.93,0.46,0.79
1/13/2019 10:10,2019,1,13,10,10,0.91,0.56,0.96
1/15/2019 10:10,2019,1,15,10,10,0.95,0.32,0.55
1/17/2019 10:10,2019,1,17,10,10,0.87,0.8,1.34
1/22/2019 10:10,2019,1,22,10,10,0.96,0.23,0.4
1/29/2019 10:10,2019,1,29,10,10,0.96,0.21,0.36
1/31/2019 10:10,2019,1,31,10,10,0.93,0.37,0.64
2/2/2019 10:10,2019,2,2,10,10,0.87,0.75,1.25
2/7/2019 10:10,2019,2,7,10,10,0.95,0.3,0.52
2/14/2019 10:10,2019,2,14,10,10,0.94,0.39,0.67
2/16/2019 10:10,2019,2,16,10,10,0.94,0.43,0.73
2/18/2019 10:10,2019,2,18,10,10,0.93,0.45,0.78
2/23/2019 10:10,2019,2,23,10,10,0.92,0.49,0.83
3/2/2019 10:10,2019,3,2,10,10,0.93,0.43,0.81
3/4/2019 10:10,2019,3,4,10,10,0.83,1.07,1.79
3/6/2019 10:10,2019,3,6,10,10,0.87,0.86,1.45
3/11/2019 10:10,2019,3,11,10,10,0.94,0.34,0.59
3/18/2019 10:10,2019,3,18,10,10,0.96,0.27,0.46
3/20/2019 10:10,2019,3,20,10,10,0.93,0.43,0.74
3/22/2019 10:10,2019,3,22,10,10,0.95,0.37,0.64
3/27/2019 10:10,2019,3,27,10,10,0.92,0.5,0.86
4/3/2019 10:10,2019,4,3,10,10,0.83,1.08,1.8
4/5/2019 10:10,2019,4,5,10,10,0.88,0.74,1.26
4/7/2019 10:10,2019,4,7,10,10,0.84,0.98,1.64
4/12/2019 10:10,2019,4,12,10,10,0.85,0.99,1.66
4/19/2019 10:10,2019,4,19,10,10,0.83,1.19,1.98
4/21/2019 10:10,2019,4,21,10,10,0.88,0.83,1.42
4/23/2019 10:10,2019,4,23,10,10,0.74,1.7,2.74
4/28/2019 10:10,2019,4,28,10,10,0.94,0.38,0.66
5/5/2019 10:10,2019,5,5,10,10,0.88,0.83,1.42
5/7/2019 10:10,2019,5,7,10,10,0.9,0.7,1.19
5/9/2019 10:10,2019,5,9,10,10,0.85,1.05,1.75
5/12/2019 10:10,2019,5,12,10,10,0.9,0.65,1.12
5/14/2019 10:10,2019,5,14,10,10,0.89,0.79,1.35
5/21/2019 10:10,2019,5,21,10,10,0.8,1.43,2.38
5/23/2019 10:10,2019,5,23,10,10,0.74,2.01,3.26
5/25/2019 10:10,2019,5,25,10,10,0.75,1.8,2.95
5/30/2019 10:10,2019,5,30,10,10,0.84,1.14,1.92
6/1/2019 10:10,2019,6,1,10,10,0.74,2.01,3.26
6/6/2019 10:10,2019,6,6,10,10,0.7,2.18,3.51
6/8/2019 10:10,2019,6,8,10,10,0.7,2.35,3.75
6/10/2019 10:10,2019,6,10,10,10,0.69,3.04,4.72
6/15/2019 10:10,2019,6,15,10,10,0.64,2.79,4.35
6/22/2019 10:10,2019,6,22,10,10,0.68,2.39,3.81
6/24/2019 10:10,2019,6,24,10,10,0.64,3.03,4.72
6/26/2019 10:10,2019,6,26,10,10,0.59,3.65,5.55
7/1/2019 10:10,2019,7,1,10,10,0.55,3.68,5.68
7/8/2019 10:10,2019,7,8,10,10,0.71,2.37,3.81
7/10/2019 10:10,2019,7,10,10,10,0.71,2.24,3.6
7/12/2019 10:10,2019,7,12,10,10,0.72,2.21,3.57
7/17/2019 10:10,2019,7,17,10,10,0.7,2.35,3.77
7/19/2019 10:10,2019,7,19,10,10,0.62,3.03,4.74
7/24/2019 10:10,2019,7,24,10,10,0.51,4.08,6.18
7/26/2019 10:10,2019,7,26,10,10,0.57,3.5,5.42
7/28/2019 10:10,2019,7,28,10,10,0.59,3.1,4.81
8/2/2019 10:10,2019,8,2,10,10,0.65,2.72,4.32
8/13/2019 10:10,2019,8,13,10,10,0.75,1.91,3.12
8/18/2019 10:10,2019,8,18,10,10,0.61,3.15,4.85
8/20/2019 10:10,2019,8,20,10,10,0.55,3.43,5.28
8/25/2019 10:10,2019,8,25,10,10,0.62,3,4.72
8/27/2019 10:10,2019,8,27,10,10,0.6,3.3,5.09
8/29/2019 10:10,2019,8,29,10,10,0.64,2.77,4.43
9/3/2019 10:10,2019,9,3,10,10,0.74,2.11,3.4
9/5/2019 10:10,2019,9,5,10,10,0.7,2.29,3.66
